City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
170,sao filipe,58,CV,1581184082,53,14.9,-24.5,76.21,20.15
171,port alfred,57,ZA,1581184242,94,-33.59,26.89,68.0,1.01
172,nevelsk,20,RU,1581184242,69,46.67,141.86,-9.4,4.47
173,ribeira grande,75,PT,1581184243,88,38.52,-28.7,64.4,21.92
174,ulaangom,100,MN,1581184243,97,49.98,92.07,-2.79,2.26
175,geraldton,75,AU,1581184243,68,-28.77,114.6,71.6,21.92
176,patacamaya,100,BO,1581184243,64,-17.23,-67.92,54.36,8.66
177,richards bay,81,ZA,1581183971,81,-28.78,32.04,81.21,15.84
178,flinders,90,AU,1581184243,100,-34.58,150.86,69.01,17.22
179,faanui,100,PF,1581184243,79,-16.48,-151.75,82.24,20.45
180,opuwo,75,NA,1581184243,38,-18.06,13.84,78.87,11.61
181,khash,0,IR,1581184243,46,28.22,61.22,52.75,8.63
182,kawalu,99,ID,1581184243,89,-7.38,108.21,72.03,0.69
183,tual,88,ID,1581184243,76,-5.67,132.75,82.09,10.33
184,tuktoyaktuk,75,CA,1581184243,73,69.45,-133.04,-36.4,4.7
185,kalakamati,75,BW,1581184243,83,-20.59,27.31,73.4,5.82
186,saint george,1,US,1581184023,34,37.1,-113.58,51.8,1.52
187,athabasca,95,CA,1581184243,93,54.72,-113.29,17.22,6.69
188,ulagan,100,RU,1581184243,67,50.63,87.96,15.96,10.22
189,chara,98,RU,1581184243,84,56.91,118.26,1.2,1.81
190,carnarvon,40,AU,1581184243,88,-24.87,113.63,77.0,21.92
191,yeppoon,21,AU,1581184243,88,-23.13,150.73,77.0,1.12
192,moree,90,AU,1581184243,94,-29.47,149.85,69.8,10.76
193,bouna,60,CI,1581184243,7,9.27,-3.0,88.57,2.68
194,aden,0,YE,1581183980,63,12.78,45.04,76.6,8.43
195,padang,100,ID,1581184114,96,-0.95,100.35,67.77,2.15
196,toora-khem,89,RU,1581184243,88,52.47,96.11,13.53,2.84
197,bilma,0,NE,1581184113,20,18.69,12.92,68.54,7.49
198,agadir,51,MA,1581184244,64,30.42,-9.6,68.0,10.29
199,reims,75,FR,1581184244,76,49.17,4.08,50.0,6.93
200,ostrovnoy,88,RU,1581184244,95,68.05,39.51,24.57,13.62
201,north bend,90,US,1581183996,81,43.41,-124.22,48.0,11.41
202,half moon bay,20,US,1581184244,76,37.46,-122.43,54.0,10.29
203,codrington,0,AU,1581184244,84,-38.27,141.97,64.94,18.75
204,beipiao,0,CN,1581184244,71,41.79,120.78,15.91,9.24
205,waitati,100,NZ,1581184244,70,-45.75,170.57,51.01,5.01
206,shebalino,100,RU,1581184244,53,51.29,85.68,33.96,7.09
207,mar del plata,75,AR,1581184244,64,-38.0,-57.56,71.01,16.11
208,sibolga,100,ID,1581184244,94,1.74,98.78,69.8,2.68
209,pachuquilla,5,MX,1581184244,22,20.07,-98.7,68.56,0.92
210,columbus,90,US,1581184226,86,39.96,-83.0,32.0,9.17
211,fort nelson,75,CA,1581184244,92,58.81,-122.7,6.8,4.7
